WORD,COUNT
the,11738
and,7571
of,5085
to,3950
a,3731
he,3042
in,3017
i,2846
it,2785
that,2541
was,2461
they,1995
you,1864
but,1771
his,1574
said,1481
not,1450
for,1448
as,1394
is,1342
on,1280
had,1260
at,1194
with,1122
frodo,1102
there,1072
were,1049
have,1020
we,984
be,897
all,881
him,853
them,800
if,777
from,760
or,710
s,704
their,703
now,680
are,669
no,649
out,636
up,604
by,581
will,563
then,560
this,554
what,534
do,513
my,499
t,473
gandalf,467
me,464
into,460
long,457
been,455
could,455
so,455
would,443
came,436
one,433
down,427
again,418
more,415
when,412
like,411
sam,409
before,397
go,390
come,382
many,378
some,366
great,360
about,347
your,347
still,346
ring,345
back,344
away,341
far,333
us,331
than,330
bilbo,326
an,323
here,323
over,323
dark,317
can,316
only,311
old,308
see,303
has,297
seemed,297
well,297
hobbits,296
did,295
any,287
know,285
last,284
even,283
time,281
way,275
light,267
may,267
went,267
upon,265
road,263
yet,260
which,258
must,253
very,253
where,253
shall,252
looked,250
after,249
our,249
night,237
its,233
merry,230
shire,227
heard,226
am,225
through,225
little,224
off,224
good,222
end,220
much,220
who,217
don,212
other,211
pippin,211
thought,211
trees,208
aragorn,207
say,207
though,206
strider,205
under,203
while,203
behind,202
think,202
saw,200
water,199
eyes,198
made,198
left,197
found,196
should,193
side,193
suddenly,193
too,188
land,183
things,183
elves,182
day,181
first,178
ever,177
hand,177
black,173
seen,173
white,171
let,170
these,170
river,167
going,165
never,164
her,161
once,161
stood,160
she,159
mr,158
two,157
boromir,155
soon,155
beyond,153
find,153
took,153
fell,152
fire,152
get,152
himself,152
felt,150
began,149
cried,149
hope,149
own,149
passed,149
days,148
folk,147
right,146
round,145
take,145
deep,144
feet,143
hill,143
cannot,142
others,142
until,141
sun,140
elrond,137
grey,136
indeed,136
those,136
might,135
turned,135
answered,134
lay,134
tom,134
just,133
asked,132
make,131
mountains,131
look,130
tell,130
men,129
wind,129
fear,128
nothing,128
company,127
door,124
got,124
world,124
high,123
shadow,123
set,122
since,121
voice,121
words,121
gimli,120
looking,120
without,120
ll,118
above,117
along,117
green,117
heart,117
towards,117
sat,116
something,116
stone,115
such,115
tree,115
already,114
how,114
three,114
east,112
near,112
need,112
path,112
clear,110
knew,110
put,110
west,110
why,110
bree,108
moment,108
north,108
between,107
called,107
spoke,106
most,105
among,104
few,103
house,103
sound,103
hobbit,102
keep,102
power,102
south,102
years,102
against,101
course,101
head,101
hear,101
fair,100
morning,100
another,99
cold,99
enemy,99
leave,99
small,99
also,98
gone,97
mind,96
legolas,95
name,95
coming,94
face,94
sky,94
ground,93
ago,92
evil,90
grew,90
nor,90
wish,90
told,89
wide,89
alone,88
further,88
grass,88
hills,88
help,87
leaves,87
rivendell,87
slowly,87
yes,87
forward,86
gate,86
journey,86
open,86
air,84
strange,84
better,83
people,83
riders,83
enough,82
friends,82
master,82
pass,82
silver,82
sleep,82
drew,81
pale,81
place,81
ran,81
least,80
often,80
stars,79
together,79
moria,78
rest,78
speak,78
thing,78
darkness,77
gave,77
want,76
wood,76
give,75
home,75
rien,75
ahead,74
elf,74
across,73
brought,73
gollum,73
news,73
beside,72
feel,72
wonder,72
half,71
less,71
mean,71
d,70
forest,70
longer,70
man,70
shadows,70
tall,70
gold,69
lands,69
became,68
lord,68
song,68
sword,68
anything,67
each,67
known,67
rather,67
baggins,66
dwarves,66
followed,66
lady,66
large,66
lost,66
low,66
mordor,66
red,66
almost,65
bank,65
earth,65
fall,65
moon,65
quite,65
stream,65
l,64
maybe,64
middle,64
same,64
silent,64
top,64
close,63
full,63
hall,63
perhaps,63
walked,63
caught,62
hard,62
being,61
both,61
country,61
rose,61
wall,61
bag,60
bright,60
done,60
sauron,60
tale,60
used,60
boats,59
either,59
every,59
hands,59
part,59
quickly,59
rings,59
standing,59
turn,59
dwarf,58
seem,58
wizard,58
afraid,57
call,57
evening,57
new,57
orcs,57
sea,57
word,57
broken,56
laid,56
short,56
talk,56
valley,56
woods,56
does,55
doors,55
held,55
reached,55
themselves,55
bridge,54
doubt,54
elven,54
hidden,54
led,54
m,54
silence,54
strong,54
ve,54
follow,53
saruman,53
strength,53
times,53
become,52
book,52
butterbur,52
chance,52
doom,52
mist,52
outside,52
seems,52
sign,52
snow,52
wise,52
edge,51
horse,51
kept,51
nearly,51
singing,51
ancient,50
else,50
food,50
laughed,50
room,50
running,50
below,49
except,49
inside,49
none,49
o,49
remember,49
save,49
sir,49
sprang,49
comes,48
filled,48
foot,48
hardly,48
minas,48
places,48
pony,48
return,48
secret,48
sure,48
true,48
understand,48
vanished,48
won,48
friend,47
miles,47
nine,47
answer,46
ask,46
climbed,46
danger,46
guess,46
heavy,46
lies,46
next,46
remained,46
sitting,46
soft,46
son,46
story,46
use,46
voices,46
wait,46
year,46
young,46
best,45
four,45
golden,45
halted,45
getting,44
matter,44
memory,44
neither,44
ready,44
walking,44
walls,44
always,43
eye,43
fallen,43
haldir,43
happened,43
later,43
mountain,43
ponies,43
present,43
shining,43
sudden,43
tongue,43
watch,43
bed,42
boat,42
borders,42
cut,42
deal,42
forgotten,42
hair,42
line,42
several,42
sight,42
spring,42
till,42
unless,42
beneath,41
isildur,41
really,41
shone,41
stones,41
turning,41
aside,40
free,40
gondor,40
hour,40
late,40
live,40
living,40
myself,40
plain,40
stay,40
galadriel,39
glad,39
king,39
moved,39
ought,39
returned,39
stopped,39
walk,39
war,39
window,39
appeared,38
arms,38
blue,38
faded,38
falling,38
farewell,38
meet,38
party,38
rain,38
table,38
tales,38
tonight,38
wild,38
branches,37
business,37
early,37
gates,37
growing,37
history,37
nearer,37
queer,37
rode,37
seldom,37
shore,37
straight,37
arm,36
bit,36
feeling,36
floor,36
given,36
glorfindel,36
guests,36
hobbiton,36
horses,36
kind,36
kings,36
making,36
mighty,36
point,36
quiet,36
rising,36
steep,36
tirith,36
wound,36
corner,35
distance,35
gl,35
learned,35
passage,35
poor,35
shoulder,35
shut,35
trouble,35
trying,35
western,35
bear,34
beginning,34
bill,34
bombadil,34
clouds,34
dead,34
eastern,34
especially,34
fast,34
hedge,34
hold,34
knows,34
maggot,34
peril,34
re,34
thinking,34
work,34
yellow,34
because,33
doing,33
elvish,33
fact,33
hot,33
lane,33
lie,33
listening,33
opened,33
passing,33
peace,33
read,33
thick,33
birds,32
broke,32
desire,32
distant,32
drink,32
empty,32
goldberry,32
ill,32
narrow,32
safe,32
saying,32
talking,32
weary,32
weather,32
whole,32
willow,32
big,31
birthday,31
case,31
cast,31
council,31
cry,31
dangerous,31
dim,31
escape,31
fields,31
flat,31
hearts,31
hole,31
life,31
lying,31
slipped,31
slow,31
smoke,31
suppose,31
westward,31
whether,31
wished,31
barrow,30
believe,30
brown,30
buckland,30
care,30
dream,30
faces,30
guessed,30
however,30
hundred,30
lead,30
length,30
lived,30
lothl,30
names,30
northern,30
rolled,30
second,30
sent,30
slopes,30
speaking,30
swiftly,30
thin,30
travellers,30
waters,30
bent,29
breath,29
celeborn,29
dwelt,29
faint,29
five,29
ford,29
gildor,29
heads,29
noise,29
paths,29
rider,29
roots,29
stand,29
supper,29
trust,29
warm,29
watched,29
windows,29
advice,28
age,28
asleep,28
bagginses,28
bring,28
chair,28
change,28
dale,28
eastward,28
ere,28
everything,28
grow,28
important,28
inn,28
itself,28
leading,28
leaving,28
lifted,28
moving,28
opening,28
past,28
run,28
slope,28
softly,28
swift,28
whatever,28
wolves,28
bowed,27
brandywine,27
chamber,27
chapter,27
companions,27
cool,27
deadly,27
dear,27
downs,27
farmer,27
flowers,27
front,27
garden,27
goes,27
hung,27
legs,27
possible,27
rock,27
roof,27
sing,27
southwards,27
stepped,27
taken,27
tried,27
try,27
weathertop,27
wondered,27
worse,27
written,27
bore,26
broad,26
closed,26
fled,26
gaffer,26
love,26
mirkwood,26
misty,26
move,26
quick,26
ride,26
rohan,26
shape,26
staff,26
star,26
start,26
tower,26
troubled,26
winter,26
able,25
account,25
balin,25
built,25
chief,25
clad,25
cloud,25
didn,25
elendil,25
feared,25
lore,25
met,25
probably,25
purpose,25
quietly,25
shouted,25
tired,25
waiting,25
added,24
ah,24
anyway,24
aware,24
burning,24
choice,24
climb,24
dawn,24
dwell,24
ears,24
expected,24
fingers,24
flame,24
flowed,24
gamgee,24
greater,24
hollow,24
hours,24
lit,24
parts,24
pocket,24
questions,24
says,24
seeing,24
seek,24
send,24
shapes,24
sharp,24
sides,24
sort,24
steadily,24
step,24
sweet,24
tomorrow,24
truth,24
wandering,24
whom,24
alas,23
climbing,23
crossed,23
falls,23
family,23
figure,23
following,23
guard,23
haven,23
loud,23
meal,23
muttered,23
n,23
r,23
rate,23
reach,23
seat,23
seven,23
show,23
southern,23
speech,23
started,23
surprise,23
terror,23
today,23
actually,22
anduin,22
bare,22
blade,22
bottom,22
certain,22
certainly,22
changed,22
circle,22
cloak,22
decided,22
dell,22
drawn,22
dusk,22
fellow,22
forget,22
gathered,22
level,22
lights,22
mine,22
mirror,22
nob,22
orc,22
real,22
rule,22
silverlode,22
sit,22
thrust,22
tidings,22
troll,22
watching,22
ways,22
welcome,22
willing,22
yourself,22
brandybuck,21
choose,21
city,21
different,21
ended,21
finger,21
fog,21
leaped,21
listen,21
meant,21
music,21
pool,21
prove,21
sometimes,21
speed,21
sunlight,21
wandered,21
whose,21
amid,20
arch,20
beautiful,20
caradhras,20
chill,20
cliff,20
destroyed,20
difficult,20
durin,20
easy,20
expect,20
fatty,20
ferny,20
ferry,20
isn,20
keen,20
mile,20
paused,20
peregrin,20
plan,20
reason,20
remain,20
remembered,20
sackville,20
single,20
somehow,20
songs,20
spoken,20
stair,20
steps,20
stirred,20
stop,20
taking,20
terrible,20
thoughts,20
wisdom,20
wondering,20
afternoon,19
begin,19
bound,19
breakfast,19
burden,19
counsel,19
crept,19
death,19
direction,19
entered,19
forth,19
gift,19
laughing,19
laughter,19
learn,19
likely,19
listened,19
lords,19
lower,19
meeting,19
message,19
noon,19
precious,19
ridge,19
showed,19
smiled,19
touched,19
towers,19
view,19
winding,19
within,19
woke,19
altogether,18
bad,18
banks,18
belt,18
boughs,18
brief,18
busy,18
cross,18
dared,18
deeply,18
dol,18
dragon,18
glimpse,18
gloom,18
halls,18
holes,18
lad,18
lake,18
landlord,18
lot,18
mark,18
midst,18
needed,18
pleasant,18
pursuit,18
quest,18
riding,18
smooth,18
sooner,18
stared,18
third,18
underhill,18
wanted,18
wore,18
afterwards,17
autumn,17
awake,17
burst,17
careful,17
catch,17
command,17
creature,17
crown,17
deeds,17
died,17
disappeared,17
eating,17
elder,17
enemies,17
flowing,17
flying,17
grown,17
hey,17
hoofs,17
horn,17
huge,17
knowledge,17
luck,17
magic,17
minds,17
nimrodel,17
northward,17
number,17
proved,17
rocks,17
seas,17
servants,17
shoulders,17
sighed,17
skill,17
slender,17
slept,17
sorry,17
stronger,17
trail,17
treasure,17
whispered,17
wrought,17
aloud,16
anxious,16
anyone,16
beasts,16
blew,16
blow,16
break,16
