WORD,COUNT
the,66802
and,52751
of,34955
to,14848
in,13535
that,12702
he,11988
a,11186
i,10046
shall,9547
his,9392
for,8546
they,8233
unto,8056
it,7668
lord,7601
not,6933
is,6863
be,6705
him,6673
them,6521
with,6237
was,5634
all,5618
said,5280
thou,5162
but,4608
my,4543
thy,4460
me,4348
their,4321
will,4143
have,4138
as,3946
from,3923
you,3691
which,3680
thee,3649
god,3445
ye,3258
s,3154
were,3135
out,3035
upon,2881
there,2878
are,2867
this,2837
up,2757
when,2732
on,2709
king,2627
had,2608
israel,2536
then,2516
man,2503
son,2487
by,2463
come,2386
at,2363
came,2300
we,2293
into,2171
people,2087
house,2007
her,2006
one,1992
your,1946
before,1945
hath,1941
so,1927
if,1889
e,1884
now,1878
land,1842
no,1814
go,1803
men,1772
an,1771
children,1754
day,1737
or,1674
against,1656
do,1642
che,1600
shalt,1579
hand,1575
l,1538
went,1510
us,1481
let,1476
down,1464
also,1458
even,1433
made,1360
saying,1323
what,1306
o,1272
behold,1262
did,1245
over,1208
great,1207
away,1181
saith,1176
these,1167
after,1126
say,1123
our,1116
every,1103
because,1101
sons,1081
therefore,1070
make,1069
may,1060
david,1048
la,1041
father,1032
like,1029
she,1020
hast,1006
again,948
name,946
take,945
two,944
any,939
put,924
more,919
thine,918
way,911
earth,906
among,894
days,889
thereof,884
give,872
forth,871
am,866
pass,856
brought,855
heart,850
see,843
about,841
know,835
things,834
di,822
city,821
who,817
judah,815
yet,812
moses,810
neither,800
took,792
time,768
place,767
nor,752
jerusalem,749
set,747
good,741
thus,736
eyes,734
bring,725
would,718
offering,715
should,715
according,692
many,689
non,681
than,669
sent,667
per,651
off,646
heard,645
jesus,642
mine,641
eat,640
saw,634
evil,618
ch,617
word,605
hundred,596
long,596
own,595
whom,595
egypt,592
ever,592
old,591
how,590
done,586
fire,585
words,579
called,573
where,572
other,566
himself,565
hear,564
side,555
thing,555
years,554
voice,550
spake,548
answered,545
some,538
could,536
io,536
hands,524
three,523
been,518
fathers,514
speak,513
through,510
can,506
under,506
priest,505
back,501
face,500
frodo,499
high,498
sword,497
thousand,494
first,492
together,492
cast,491
water,491
servant,484
heaven,483
holy,483
far,479
those,479
head,475
stood,474
left,472
gave,468
servants,468
found,460
very,456
right,450
art,449
cities,443
soul,443
fear,441
until,440
night,436
lo,435
light,434
here,431
well,429
given,428
gold,427
t,423
only,420
sam,420
commanded,419
another,415
might,414
seven,414
mouth,413
little,411
si,408
round,407
work,404
themselves,397
d,396
sea,396
blood,395
saul,394
turned,392
le,391
end,389
peace,387
still,387
master,385
without,384
mi,382
while,381
year,381
priests,380
brethren,378
drink,377
li,376
life,375
keep,374
none,374
wife,370
both,367
cut,366
jacob,365
altar,363
congregation,363
midst,363
taken,363
burnt,362
feet,360
bread,359
lay,358
five,356
sight,353
sin,353
gandalf,350
silver,350
brother,349
law,347
aaron,346
gate,340
wicked,340
seen,336
young,336
gollum,335
must,334
rest,334
why,334
fell,331
much,331
kings,330
daughter,329
death,327
above,325
dead,323
trees,323
con,322
woman,321
dwell,320
turn,316
kingdom,315
spirit,314
between,312
die,311
tell,311
dark,310
mother,310
field,309
looked,309
nations,309
four,308
hosts,308
tabernacle,308
flesh,307
last,305
passed,303
return,303
solomon,303
de,302
gone,301
told,301
stone,300
pi,299
toward,299
yea,298
ground,297
cause,296
twenty,296
near,295
enemies,294
wilderness,294
such,292
waters,291
aragorn,290
mighty,289
surely,289
pray,288
deliver,287
laid,287
babylon,286
though,286
meat,284
strong,283
gathered,280
find,279
same,279
fall,277
morning,277
nothing,277
stand,277
mountains,276
war,276
whose,276
covenant,274
blessed,273
il,271
princes,271
spoken,271
un,271
thought,269
cried,268
iniquity,268
pharaoh,268
look,267
full,266
glory,266
strength,266
da,265
levites,265
se,264
offerings,262
tu,262
wherefore,262
al,260
cometh,259
mount,258
delivered,255
philistines,254
seed,254
wall,254
ma,253
save,253
began,252
chief,252
destroy,252
get,251
ten,251
judgment,250
daughters,249
month,248
sun,248
wise,248
sat,247
river,246
anger,245
tree,245
mercy,243
joseph,242
whole,242
has,240
seek,240
gods,237
places,236
too,236
wilt,236
behind,235
smote,235
broken,234
cannot,233
call,232
praise,231
prophet,231
seemed,231
battle,230
east,230
orcs,230
stones,230
offer,228
wine,228
ark,226
deep,226
poor,226
inheritance,225
send,225
part,224
tribe,223
within,223
dwelt,222
ways,221
del,220
going,220
host,220
multitude,220
world,220
begat,219
darkness,219
disciples,219
north,218
returned,218
joshua,217
righteousness,217
cry,216
righteous,214
power,213
wood,213
abraham,212
bear,212
cubits,212
gi,212
live,211
yes,211
walk,210
bare,209
afraid,208
concerning,208
therein,208
hold,207
knew,207
wind,205
hobbits,203
